postalcode,work_location,employee_count
C0A 2X0,"Holman Centre (Summerside)",1
C0A 6N0,"Provincial Admin Building",1
C0A 1B0,"Borden Visitor Information Cen",1
C0A 1G0,"548 Main St., Montague",1
C0A 1H1,"Provincial Correctional Centre",1
C0A 1H4,"Access PEI - Summerside",1
C0A 1H4,"Customs House",1
C0A 1H4,"Provincial Correctional Centre",2
C0A 1H5,"Red Road Homes",1
C0A 1H6,"Liquor Control Commission",1
C0A 1H8,"Provincial Admin Building",1
C0A 1H9,"Community Hospital",1
C0A 1J0,"Borden Scale House",1
C0A 1N0,"Summerside Youth Centre",1
C0A 1P0,"40B Burns Ave.",1
C0A 1P0,"Province House",1
C0A 1P0,"Provincial Admin Building",1
C0A 1P0,"SirLouisHenryDaviesLawCourt",1
C0A 1R0,"548 Main St., Montague",1
C0A 1R0,"Southern Kings & Queens RSC",1
C0A 1T0,"Southern Kings & Queens RSC",1
C0A 1Y0,"Provincial Admin Building",1
C0A 1Y0,"Provincial Correctional Centre",1
C0B 1A0,"336 Lefurgey Ave.",3
C0B 1A0,"Access PEI - Summerside",2
C0B 1A0,"Borden Scale House",1
C0B 1A0,"Borden Visitor Information Cen",1
C0B 1A0,"Cabot Beach Park",1
C0B 1A0,"Coles Building",2
C0B 1A0,"Confederation Centre",1
C0B 1A0,"Crapaud Library",1
C0B 1A0,"Gateway Liquor Store",1
C0B 1A0,"Holman Centre (Summerside)",2
C0B 1A0,"Potato Service Building",1
C0B 1A0,"Provincial Admin Building",2
C0B 1A0,"Research Station",2
C0B 1A0,"Sherwood Business Centre",1
C0B 1A0,"Summerside Government Garage",4
C0B 1A0,"Summerside Rotary Reg. Library",1
C0B 1A0,"Undefined Location",2
C0B 1A0,"West Prince Regional Serv. Ctr",1
C0B 1A0,"West Royalty Liquor Store",1
C0B 1B0,"336 Lefurgey Ave.",1
C0B 1B0,"Access PEI - Summerside",2
C0B 1B0,"Alberton Liquor Store",6
C0B 1B0,"Alberton Public Library",2
C0B 1B0,"Alberton Rural Action Centre",2
C0B 1B0,"Alma Depot/Transportation & PW",14
C0B 1B0,"Future Tech West Building",1
C0B 1B0,"Holman Centre (Summerside)",1
C0B 1B0,"Jacques Cartier Park",10
C0B 1B0,"Linkletter Park",2
C0B 1B0,"Portage Visitor Info Centre",1
C0B 1B0,"Queen Street Liquor Store",1
C0B 1B0,"Sign Shop - Tignish",2
C0B 1B0,"Summerside Government Garage",8
C0B 1B0,"Summerside Rotary Reg. Library",1
C0B 1B0,"Tyne Valley Child/Youth Dev Hl",1
C0B 1B0,"West Prince Regional Serv. Ctr",2
C0B 1C0,"Aubin Arsenault Bldg",1
C0B 1C0,"Elmer Blanchard Building",1
C0B 1C0,"Mill River Admin Office",1
C0B 1C0,"Summerside Cannabis Store",1
C0B 1C0,"Summerside Government Garage",1
C0B 1E0,"Alberton Liquor Store",1
C0B 1E0,"Alma Depot/Transportation & PW",3
C0B 1E0,"Cedar Dunes Park",1
C0B 1E0,"Disinfection Station",1
C0B 1E0,"Mill River Admin Office",1
C0B 1E0,"O'Leary Liquor Store",2
C0B 1E0,"Summerside Government Garage",1
C0B 1E0,"West Prince Regional Serv. Ctr",3
C0B 1G0,"40B Burns Ave.",1
C0B 1G0,"Access PEI - Summerside",2
C0B 1G0,"Highway Safety Charlottetown",1
C0B 1G0,"Summerside Cannabis Store",1
C0B 1H0,"Alma Depot/Transportation & PW",1
C0B 1H0,"Ch'Town Government Garage",1
C0B 1H0,"Green Park Historic Site",1
C0B 1H0,"Holman Centre (Summerside)",1
C0B 1H0,"Mill River Admin Office",2
C0B 1H0,"O'Leary Cannabis Store",1
C0B 1H0,"Potato Service Building",1
C0B 1H0,"Provincial Admin Building",1
C0B 1H0,"Provincial Correctional Centre",1
C0B 1H0,"Summerside Cannabis Store",1
C0B 1H0,"Summerside Government Garage",3
C0B 1H0,"West Prince Regional Serv. Ctr",2
C0B 1J0,"Access PEI - Summerside",1
C0B 1J0,"Alma Depot/Transportation & PW",3
C0B 1J0,"Beaconsfield Historic House",1
C0B 1J0,"Cedar Dunes Park",2
C0B 1J0,"Ch'Town Government Garage",1
C0B 1J0,"Coles Building",1
C0B 1J0,"Green Park Historic Site",6
C0B 1J0,"Holman Building (Ch'town)",1
C0B 1J0,"Holman Centre (Summerside)",1
C0B 1J0,"Liquor Control Commission",2
C0B 1J0,"O'Leary Liquor Store",2
C0B 1J0,"Portage Visitor Info Centre",2
C0B 1J0,"Potato Service Building",1
C0B 1J0,"Provincial Admin Building",2
C0B 1J0,"Summerside Cannabis Store",1
C0B 1J0,"Summerside Government Garage",8
C0B 1J0,"Summerside Youth Centre",3
C0B 1J0,"Tyne Valley Liquor Store",1
C0B 1K0,"Alberton Courthouse",1
C0B 1K0,"Alma Depot/Transportation & PW",7
C0B 1K0,"Comm & Corr Services",1
C0B 1K0,"Confed Trail - W Prince",1
C0B 1K0,"Customs House",1
C0B 1K0,"Mill River Admin Office",1
C0B 1K0,"O'Leary",1
C0B 1K0,"O'Leary Cannabis Store",1
C0B 1K0,"Prince County Jail &Courthouse",1
C0B 1K0,"Provincial Admin Building",1
C0B 1K0,"Research Station",1
C0B 1K0,"Summerside Government Garage",3
C0B 1K0,"Summerside Youth Centre",1
C0B 1K0,"Tyne Valley Child/Youth Dev Hl",1
C0B 1K0,"Wellington Rural Action Centre",1
C0B 1K0,"West Prince Regional Serv. Ctr",2
C0B 1L0,"Charlottetown Cannabis Store",1
C0B 1L0,"Prince County Jail &Courthouse",1
C0B 1L0,"Provincial Admin Building",1
C0B 1L0,"Research Station",1
C0B 1L0,"Summerside Government Garage",5
C0B 1L0,"Summerside Youth Centre",1
C0B 1M0,"185 Beach Grove Road",1
C0B 1M0,"336 Lefurgey Ave.",3
C0B 1M0,"Access PEI - Summerside",7
C0B 1M0,"Aubin Arsenault Bldg",1
C0B 1M0,"Bedeque Rural Action Centre",1
C0B 1M0,"Borden Visitor Information Cen",1
C0B 1M0,"Cabot Beach Park",5
C0B 1M0,"Cambridge Building",1
C0B 1M0,"Charlottetown Cannabis Store",1
C0B 1M0,"Chelton Park",1
C0B 1M0,"Child & Family  Services",4
C0B 1M0,"Ch'Town Government Garage",5
C0B 1M0,"Coles Building",1
C0B 1M0,"Confederation Centre",1
C0B 1M0,"Customs House",1
C0B 1M0,"Dairy Labs",1
C0B 1M0,"Elmer Blanchard Building",2
C0B 1M0,"Forestry Queens",1
C0B 1M0,"Gateway Liquor Store",1
C0B 1M0,"Granville Street Liquor Store",1
C0B 1M0,"Harbourside Health Centre",1
C0B 1M0,"Highway Safety Charlottetown",1
C0B 1M0,"Holman Building (Ch'town)",1
C0B 1M0,"Holman Centre (Summerside)",4
C0B 1M0,"HRDC Building",2
C0B 1M0,"Kensington Heritage Library",1
C0B 1M0,"Kensington Liquor Store",7
C0B 1M0,"Linkletter Park",1
C0B 1M0,"Morell Library",1
C0B 1M0,"O'Leary Cannabis Store",1
C0B 1M0,"Potato Service Building",6
C0B 1M0,"Prince County Hospital",1
C0B 1M0,"Prince County Jail &Courthouse",3
C0B 1M0,"Provincial Admin Building",12
C0B 1M0,"Provincial Correctional Centre",1
C0B 1M0,"Queen Elizabeth Hospital",1
C0B 1M0,"Red Road Homes",3
C0B 1M0,"Research Station",3
C0B 1M0,"Sherwood Business Centre",5
C0B 1M0,"Summerside",1
C0B 1M0,"Summerside Government Garage",18
C0B 1M0,"Summerside Rotary Reg. Library",2
C0B 1M0,"Summerside Waterfront Mall",1
C0B 1M0,"Summerside Youth Centre",7
C0B 1M0,"Tignish Body Shop",1
C0B 1M0,"Tyne Valley Child/Youth Dev Hl",2
C0B 1M4,"Customs House",1
C0B 1M0,"Highway Safety Charlottetown",1
C0B 1N0,"16 Garfield St.",1
C0B 1N0,"22 Hunt Court",1
C0B 1N0,"40 Enman Crescent",1
C0B 1N0,"40A Burns Ave.",1
C0B 1N0,"Access PEI - Summerside",2
C0B 1N0,"Alma Depot/Transportation & PW",1
C0B 1N0,"Atlantic Technology Centre",1
C0B 1N0,"Borden Scale House",1
C0B 1N0,"Borden Visitor Information Cen",1
C0B 1N0,"Chelton Park",1
C0B 1N0,"Child & Family  Services",2
C0B 1N0,"Ch'Town Government Garage",1
C0B 1N0,"Coles Building",1
C0B 1N0,"Gateway Liquor Store",1
C0B 1N0,"Kinkora Library",1
C0B 1N0,"Potato Service Building",3
C0B 1N0,"Prince County Hospital",1
C0B 1N0,"Prince County Jail &Courthouse",2
C0B 1N0,"Provincial Admin Building",10
C0B 1N0,"Provincial Correctional Centre",2
C0B 1N0,"Sherwood Business Centre",1
C0B 1N0,"Summerside Government Garage",8
C0B 1N0,"Summerside Youth Centre",1
C0B 1P0,"22 Hunt Court",1
C0B 1P0,"Atlantic Technology Centre",2
C0B 1P0,"O'Leary Liquor Store",1
C0B 1S0,"Confed Trail - W Prince",1
C0B 1S0,"Provincial Admin Building",1
C0B 1T0,"40B Burns Ave.",1
C0B 1T0,"Access PEI - Summerside",5
C0B 1T0,"Alma Depot/Transportation & PW",2
C0B 1T0,"Belmont Park",1
C0B 1T0,"Cabot Beach Park",1
C0B 1T0,"Ch'Town Government Garage",1
C0B 1T0,"Coles Building",1
C0B 1T0,"Comm & Corr Services",1
C0B 1T0,"Customs House",1
C0B 1T0,"Elmer Blanchard Building",1
C0B 1T0,"Gateway Liquor Store",1
C0B 1T0,"Granville Street Liquor Store",1
C0B 1T0,"Green Park Historic Site",1
C0B 1T0,"Highway Safety Charlottetown",1
C0B 1T0,"Holman Centre (Summerside)",2
C0B 1T0,"Prince County Jail &Courthouse",2
C0B 1T0,"Provincial Admin Building",3
C0B 1T0,"Provincial Correctional Centre",1
C0B 1T0,"SirLouisHenryDaviesLawCourt",1
C0B 1T0,"Summerside Government Garage",11
C0B 1T0,"Summerside Youth Centre",3
C0B 1T0,"Tyne Valley Child/Youth Dev Hl",1
C0B 1V0,"Access PEI - Summerside",4
C0B 1V0,"Alberton Courthouse",1
C0B 1V0,"Alberton Liquor Store",2
C0B 1V0,"Alma Depot/Transportation & PW",6
C0B 1V0,"Aubin Arsenault Bldg",1
C0B 1V0,"Bloomfield Park",1
C0B 1V0,"Borden Scale House",1
C0B 1V0,"Cedar Dunes Park",9
C0B 1V0,"Coles Building",1
C0B 1V0,"Elmsdale Bus Depot",2
C0B 1V0,"Forestry Depot Wellington",1
C0B 1V0,"Future Tech West Building",4
C0B 1V0,"Holman Building (Ch'town)",2
C0B 1V0,"Jacques Cartier Park",3
C0B 1V0,"Liquor Control Commission",1
C0B 1V0,"Mill River Admin Office",4
C0B 1V0,"O'Leary Cannabis Store",4
C0B 1V0,"O'Leary Library",3
C0B 1V0,"O'Leary Liquor Store",3
C0B 1V0,"Portage Visitor Info Centre",2
C0B 1V0,"Potato Service Building",5
C0B 1V0,"Prince County",1
C0B 1V0,"Provincial Admin Building",6
C0B 1V0,"Provincial Correctional Centre",1
C0B 1V0,"Research Station",1
C0B 1V0,"Summerside Cannabis Store",1
C0B 1V0,"Summerside Government Garage",10
C0B 1V0,"Summerside Rotary Reg. Library",1
C0B 1V0,"Summerside Youth Centre",1
C0B 1V0,"Tignish Area Gov Services Offi",1
C0B 1V0,"Tyne Valley Child/Youth Dev Hl",3
C0B 1V0,"Tyne Valley Liquor Store",1
C0B 1V0,"West Prince Regional Serv. Ctr",9
C0B 1X0,"197 Richmond Street/Ctrown Att",1
C0B 1X0,"Access PEI - Summerside",2
C0B 1X0,"Borden Scale House",1
C0B 1X0,"Borden-Carleton Library",1
C0B 1X0,"Bus Dev Bank of Canada Place",1
C0B 1X0,"Child & Family  Services",1
C0B 1X0,"Ch'Town Government Garage",1
C0B 1X0,"Elmer Blanchard Building",1
C0B 1X0,"Eptek/Wyatt Centre",1
C0B 1X0,"Gateway Liquor Store",2
C0B 1X0,"Holman Centre (Summerside)",1
C0B 1X0,"Linkletter Park",1
C0B 1X0,"O'Leary Cannabis Store",1
C0B 1X0,"Potato Service Building",1
C0B 1X0,"Prince County",1
C0B 1X0,"Provincial Admin Building",3
C0B 1X0,"Provincial Correctional Centre",2
C0B 1X0,"Research Station",2
C0B 1X0,"Summerside Government Garage",7
C0B 1X0,"Summerside Waterfront Mall",1
C0B 1X0,"Summerside Youth Centre",1
C0B 1Y0,"336 Lefurgey Ave.",1
C0B 1Y0,"Access PEI - Summerside",2
C0B 1Y0,"Child & Family  Services",1
C0B 1Y0,"Coles Building",1
C0B 1Y0,"Confed Trail - W Prince",1
C0B 1Y0,"Highway Safety Charlottetown",1
C0B 1Y0,"Holman Centre (Summerside)",2
C0B 1Y0,"Potato Service Building",1
C0B 1Y0,"Provincial Admin Building",3
C0B 1Y0,"Summerside Government Garage",10
C0B 1Y0,"Summerside Waterfront Mall",1
C0B 1Y0,"Tyne Valley Child/Youth Dev Hl",1
C0B 1Y0,"Tyne Valley Liquor Store",3
C0B 1Y0,"West Prince Regional Serv. Ctr",1
C0B 1Y0,"West Royalty Industrial Park",1
C0B 1Z0,"Alma Depot/Transportation & PW",7
C0B 1Z0,"Child & Family  Services",1
C0B 1Z0,"Ch'Town Government Garage",1
C0B 1Z0,"Confed Trail - W Prince",3
C0B 1Z0,"Forestry Depot Wellington",2
C0B 1Z0,"Mill River Admin Office",1
C0B 1Z0,"Prince County Jail &Courthouse",1
C0B 1Z0,"Red Road Homes",1
C0B 1Z0,"Sign Shop - Tignish",1
C0B 1Z0,"Summerside Government Garage",2
C0B 1Z0,"Tignish Area Gov Services Offi",1
C0B 1Z0,"Tignish Liquor Store",1
C0B 1Z0,"West Prince Regional Serv. Ctr",1
C0B 2A0,"Cabot Beach Park",1
C0B 2A0,"Ch'Town Government Garage",1
C0B 2A0,"Coles Building",1
C0B 2A0,"Elmer Blanchard Building",1
C0B 2A0,"Harbourside Health Centre",1
C0B 2A0,"Linkletter Park",1
C0B 2A0,"Provincial Admin Building",1
C0B 2A0,"Provincial Correctional Centre",1
C0B 2A0,"Summerside Government Garage",3
C0B 2A0,"Summerside Youth Centre",1
C0B 2B0,"51-53 Water Street",1
C0B 2B0,"Alberton Liquor Store",1
C0B 2B0,"Alberton Rural Action Centre",1
C0B 2B0,"Alma Depot/Transportation & PW",9
C0B 2B0,"Bloomfield Park",1
C0B 2B0,"Coles Building",1
C0B 2B0,"Confed Trail - W Prince",4
C0B 2B0,"Elmsdale Bus Depot",1
C0B 2B0,"Forestry Depot Wellington",2
C0B 2B0,"Future Tech West Building",1
C0B 2B0,"Jacques Cartier Park",3
C0B 2B0,"O'Leary Cannabis Store",1
C0B 2B0,"Provincial Admin Building",2
C0B 2B0,"Red Road Homes",1
C0B 2B0,"Sign Shop - Tignish",2
C0B 2B0,"Summerside Government Garage",9
C0B 2B0,"Tignish Area Gov Services Offi",6
C0B 2B0,"Tignish Body Shop",1
C0B 2B0,"Tignish Library",2
C0B 2B0,"Tignish Liquor Store",8
C0B 2B0,"Tyne Valley Child/Youth Dev Hl",1
C0B 2B0,"Wellington Rural Action Centre",1
C0B 2B0,"West Prince Regional Serv. Ctr",3
C0B 2B0,"Western Hospital",2
C0B 2C0,"185 Beach Grove Road",1
C0B 2C0,"Access PEI - Summerside",1
C0B 2C0,"Cabot Beach Park",1
C0B 2C0,"Cedar Dunes Park",1
C0B 2C0,"Child & Family  Services",2
C0B 2C0,"Comm & Corr Services",3
C0B 2C0,"Confed Trail - W Prince",1
C0B 2C0,"Granville Street Liquor Store",1
C0B 2C0,"Green Park Historic Site",1
C0B 2C0,"Harbourside Health Centre",1
C0B 2C0,"Mill River Admin Office",1
C0B 2C0,"O'Leary Cannabis Store",1
C0B 2C0,"Potato Service Building",1
C0B 2C0,"Provincial Admin Building",2
C0B 2C0,"Summerside",1
C0B 2C0,"Summerside Government Garage",10
C0B 2C0,"Summerside Rotary Reg. Library",2
C0B 2C0,"Tyne Valley Child/Youth Dev Hl",1
C0B 2C0,"Tyne Valley Library",1
C0B 2C0,"Tyne Valley Liquor Store",2
C0B 2C0,"West Prince Regional Serv. Ctr",2
C0B 2E0,"51-53 Water Street",2
C0B 2E0,"Abrams Village Library",4
C0B 2E0,"Access PEI - Summerside",1
C0B 2E0,"Aubin Arsenault Bldg",1
C0B 2E0,"Beaconsfield Historic House",1
C0B 2E0,"Borden Visitor Information Cen",1
C0B 2E0,"Child & Family  Services",1
C0B 2E0,"Elmer Blanchard Building",1
C0B 2E0,"Evangline Reg. Service Centre",4
C0B 2E0,"Forestry Depot Wellington",3
C0B 2E0,"French Museum",2
C0B 2E0,"Holman Building (Ch'town)",3
C0B 2E0,"Holman Centre (Summerside)",4
C0B 2E0,"Linkletter Park",1
C0B 2E0,"Prince County Jail &Courthouse",1
C0B 2E0,"Provincial Admin Building",4
C0B 2E0,"Sherwood Business Centre",2
C0B 2E0,"Summerside Cannabis Store",1
C0B 2E0,"Summerside Government Garage",13
C0B 2E0,"Summerside Waterfront Mall",1
C0B 2E0,"Tyne Valley Child/Youth Dev Hl",1
C0B 2E0,"Wellington Liquor Store",1
C0B 2E0,"Wellington Rural Action Centre",1
C0B 2E0,"West Prince Regional Serv. Ctr",1
C0B 1G0,"Tyne Valley Child/Youth Dev Hl",1
C0B 1J0,"O'Leary Cannabis Store",1
C0B 1L0,"Red Road Homes",1
C0B 1M0,"Potato Service Building",1
C0B 1M0,"Provincial Admin Building",1
C0B 1M0,"Summerside Youth Centre",1
C0B 1M0,"Kensington Liquor Store",1
C0B 1N0,"Kings County Memorial Hospital",1
C0B 1T0,"Summerside Youth Centre",1
C0B 2B0,"West Prince Regional Serv. Ctr",1
C1A 0A3,"Provincial Admin Building",1
C1A 0A4,"Ch'Town Government Garage",1
C1A 0A4,"Provincial Admin Building",1
C1A 0A4,"Sherwood Business Centre",1
C1A 0A8,"Provincial Admin Building",1
C1A 0C1,"West Royalty Liquor Store",1
C1A 0C4,"Founders' Hall",1
C1A 0C6,"Coles Building",1
C1A 0E1,"Charlottetown",1
C1A 0E1,"J. Angus MacLean Bldg",1
C1A 0E1,"Provincial Admin Building",1
C1A 0E3,"Confederation Centre",1
C1A 0H9,"Founders' Hall",1
C1A 0P8,"North Rustico Liquor Store",1
C1A 0T8,"Charlottetown",1
C1A 1A7,"Provincial Admin Building",1
C1A 1A8,"Ch'Town Government Garage",1
C1A 1B0,"Provincial Admin Building",1
C1A 1B5,"16 Garfield St.",1
C1A 1B6,"Ch'Town Government Garage",1
C1A 1B6,"Provincial Admin Building",1
C1A 1B8,"Elmer Blanchard Building",2
C1A 1B8,"Southern Kings & Queens RSC",1
C1A 1C1,"Provincial Admin Building",1
C1A 1C3,"Ch'Town Government Garage",1
C1A 1C3,"Provincial Admin Building",1
C1A 1C3,"Summerside Youth Centre",1
C1A 1C4,"Provincial Admin Building",1
C1A 1C5,"Provincial Admin Building",1
C1A 1E2,"Provincial Admin Building",1
C1A 1E3,"J. Angus MacLean Bldg",1
C1A 1E6,"Stratford Liquor Store",1
C1A 1E8,"Ch'Town Government Garage",1
C1A 1G6,"Elmer Blanchard Building",1
C1A 1G6,"Provincial Admin Building",1
C1A 1H0,"Sherwood Business Centre",1
C1A 1H2,"Ch'Town Government Garage",1
C1A 1H2,"Provincial Admin Building",1
C1A 1H2,"Provincial Correctional Centre",1
C1A 1H5,"Charlottetown",1
C1A 1H5,"Provincial Admin Building",1
C1A 1H7,"197 Richmond Street/Ctrown Att",1
C1A 1H7,"Provincial Admin Building",1
C1A 1H9,"Provincial Admin Building",2
C1A 1J9,"Finance PEI",1
C1A 1K4,"Provincial Admin Building",1
C1A 1K4,"West Royalty Liquor Store",1
C1A 1K8,"Tyne Valley Child/Youth Dev Hl",1
C1A 1L5,"40B Burns Ave.",1
C1A 1M8,"Forestry Queens",1
C1A 1M9,"Liquor Control Commission",1
C1A 1N0,"Ch'Town Government Garage",1
C1A 1P8,"Atlantic Technology Centre",1
C1A 1P8,"Provincial Admin Building",1
C1A 1P8,"Sherwood Business Centre",1
C1A 1P9,"Provincial Admin Building",1
C1A 1R3,"Beaconsfield Historic House",1
C1A 1R6,"Provincial Admin Building",1
C1A 1S4,"Ch'Town Government Garage",1
C1A 1S5,"Provincial Admin Building",1
C1A 1S7,"Atlantic Technology Centre",1
C1A 1S7,"Provincial Correctional Centre",1
C1A 1S9,"May Point Plaza",1
C1A 1S9,"Provincial Admin Building",3
C1A 1T1,"Provincial Admin Building",1
C1A 1T4,"Provincial Admin Building",2
C1A 1T6,"Provincial Admin Building",1
C1A 1T9,"Customs House",1
C1A 1T9,"SirLouisHenryDaviesLawCourt",1
C1A 1V2,"Provincial Admin Building",1
C1A 1V5,"Ch'Town Government Garage",1
C1A 1V6,"Provincial Admin Building",1
C1A 1W6,"Dairy Labs",1
C1A 1W6,"Highway Safety Charlottetown",1
C1A 1W8,"Liquor Control Commission",1
C1A 1X2,"Provincial Admin Building",1
C1A 1X4,"Province House",1
C1A 1X5,"Provincial Admin Building",1
C1A 1X6,"Provincial Admin Building",1
C1A 1Y1,"Provincial Admin Building",1
C1A 1Y2,"Provincial Admin Building",1
C1A 1Y4,"Elmer Blanchard Building",1
C1A 1Y4,"Founders' Hall",1
C1A 1Y7,"Tyne Valley Child/Youth Dev Hl",1
C1A 1Y9,"Sherwood Business Centre",1
C1A 1Z1,"Provincial Admin Building",2
C1A 1Z1,"Research Station",1
C1A 1Z8,"Customs House",1
C1A 2A2,"Government House",1
C1A 2A3,"Provincial Admin Building",1
C1A 2A7,"Beaconsfield Historic House",1
C1A 2A8,"Provincial Admin Building",1
C1A 2A9,"Beaconsfield Historic House",1
C1A 2A9,"Coles Building",1
C1A 2B1,"Provincial Admin Building",1
C1A 2B6,"Sherwood Business Centre",1
C1A 2B7,"Ch'Town Government Garage",1
C1A 2B7,"Provincial Admin Building",1
C1A 2B8,"Highway Safety Charlottetown",1
C1A 2B9,"Ch'Town Government Garage",1
C1A 2C5,"Provincial Admin Building",1
C1A 2C7,"Prince County Jail &Courthouse",1
C1A 2E6,"16 Garfield St.",1
C1A 2E8,"Coles Building",1
C1A 2E9,"Provincial Admin Building",1
C1A 2G2,"Beaconsfield Historic House",1
C1A 2G5,"Atlantic Technology Centre",1
C1A 2H6,"Provincial Admin Building",1
C1A 2H6,"Provincial Correctional Centre",1
C1A 2H8,"Provincial Admin Building",1
C1A 2H9,"Provincial Admin Building",3
C1A 2J1,"Provincial Admin Building",1
C1A 2J2,"Provincial Admin Building",1
C1A 2J4,"Oak Tree Place",1
C1A 2K2,"Provincial Admin Building",1
C1A 2K3,"Provincial Admin Building",1
C1A 2K9,"Provincial Admin Building",1
C1A 2L5,"Sherwood Business Centre",1
C1A 2M1,"Provincial Admin Building",1
C1A 2M3,"Provincial Admin Building",1
C1A 2M3,"Provincial Correctional Centre",1
C1A 2M5,"Stratford Access PEI",1
C1A 2M9,"Provincial Admin Building",1
C1A 2N2,"Provincial Admin Building",1
C1A 2N3,"Coles Building",1
C1A 2N9,"Research Station",1
C1A 2P4,"Sherwood Business Centre",1
C1A 2P5,"Provincial Admin Building",1
C1A 2R2,"Provincial Admin Building",1
C1A 2R5,"Provincial Admin Building",1
C1A 2R7,"Provincial Admin Building",1
C1A 2S4,"Provincial Admin Building",1
C1A 2S5,"Coles Building",1
C1A 2S9,"40B Burns Ave.",1
C1A 2T2,"Liquor Control Commission",1
C1A 2T6,"Murchison House",1
C1A 2T7,"Customs House",1
C1A 2V4,"Provincial Admin Building",1
C1A 2W4,"Provincial Correctional Centre",1
C1A 2W8,"Holman Building (Ch'town)",1
C1A 2W8,"Provincial Admin Building",1
C1A 2X5,"Sherwood Business Centre",1
C1A 2Y2,"Provincial Admin Building",1
C1A 2Y3,"40B Burns Ave.",2
C1A 2Y3,"Provincial Admin Building",1
C1A 2Y7,"Ch'Town Government Garage",1
C1A 2Y8,"CARREFOUR DE L'ISLE-SAINT-JEAN",1
C1A 2Z1,"Holman Centre (Summerside)",1
C1A 2Z3,"Provincial Admin Building",1
C1A 2Z5,"40B Burns Ave.",1
C1A 2Z6,"Provincial Admin Building",1
C1A 2Z8,"Provincial Admin Building",1
C1A 3A3,"Provincial Admin Building",2
C1A 3A5,"Provincial Admin Building",1
C1A 3A7,"Provincial Admin Building",1
C1A 3B1,"Provincial Admin Building",1
C1A 3B2,"Beaconsfield Historic House",1
C1A 3B2,"Sherwood Business Centre",1
C1A 3B3,"Ch'Town Government Garage",1
C1A 3B7,"Provincial Admin Building",1
C1A 3B7,"Sherwood Business Centre",1
C1A 3C2,"Charlottetown",1
C1A 3C2,"Holman Centre (Summerside)",1
C1A 3C3,"Charlottetown",1
C1A 3C3,"Confederation Centre",1
C1A 3C3,"Provincial Admin Building",1
C1A 3E4,"Provincial Admin Building",1
C1A 3E4,"Sherwood Business Centre",1
C1A 3E5,"Provincial Admin Building",1
C1A 3E8,"SirLouisHenryDaviesLawCourt",1
C1A 3G9,"Provincial Admin Building",1
C1A 3H3,"185 Beach Grove Road",1
C1A 3H3,"Province House",1
C1A 3H4,"Provincial Admin Building",1
C1A 3H7,"Atlantic Technology Centre",1
C1A 3H7,"Provincial Admin Building",1
C1A 3H8,"197 Richmond Street/Ctrown Att",1
C1A 3J1,"Queen Street Liquor Store",1
C1A 3J1,"West Royalty Liquor Store",1
C1A 3J3,"Provincial Admin Building",1
C1A 3J4,"Provincial Admin Building",1
C1A 3J5,"Provincial Admin Building",1
C1A 3K6,"Charlottetown Cannabis Store",1
C1A 3K6,"Liquor Control Commission",1
C1A 3K6,"Sherwood Business Centre",1
C1A 3K7,"Provincial Admin Building",1
C1A 3K8,"Sherwood Business Centre",1
C1A 3L1,"Potato Service Building",1
C1A 3L2,"Ch'Town Government Garage",1
C1A 3L4,"Atlantic Technology Centre",1
C1A 3L5,"185 Beach Grove Road",1
C1A 3L5,"40C Burns Ave.",1
C1A 3L5,"EAL Unit",1
C1A 3L7,"J. Angus MacLean Bldg",1
C1A 3L7,"Queen Street Liquor Store",1
C1A 3L7,"Sherwood Business Centre",1
C1A 3L8,"Charlottetown Cannabis Store",1
C1A 3L8,"Montague Cannabis Store",1
C1A 3M3,"Red Road Homes",1
C1A 3M8,"Provincial Admin Building",1
C1A 3N2,"Provincial Admin Building",1
C1A 3N3,"Beaconsfield Historic House",1
C1A 3N3,"Founders' Hall",1
C1A 3N3,"Provincial Admin Building",1
C1A 3N4,"557 North River Rd.",1
C1A 3N7,"Confederation Centre",1
C1A 3N7,"Morell Library",1
C1A 3N9,"Provincial Admin Building",1
C1A 3P2,"Liquor Control Commission",1
C1A 3P4,"Aubin Arsenault Bldg",1
C1A 3R3,"548 Main St., Montague",1
C1A 3R3,"Ch'Town Government Garage",1
C1A 3R4,"Charlottetown",1
C1A 3R6,"Elmer Blanchard Building",1
C1A 3R8,"Red Road Homes",1
C1A 3S2,"Provincial Admin Building",1
C1A 3S3,"Provincial Admin Building",1
C1A 3S7,"Ch'Town Government Garage",1
C1A 3V2,"Sherwood Business Centre",1
C1A 3V3,"Sherwood Business Centre",1
C1A 3W2,"Provincial Admin Building",1
C1A 3W6,"Forestry Queens",1
C1A 3X7,"Ch'Town Government Garage",1
C1A 3X9,"Provincial Admin Building",1
C1A 3Y3,"Sherwood Business Centre",1
C1A 3Y7,"Customs House",1
C1A 3Y8,"Ch'Town Government Garage",1
C1A 3Y9,"51-53 Water Street",1
C1A 3Y9,"Provincial Correctional Centre",1
C1A 3Z1,"CARREFOUR DE L'ISLE-SAINT-JEAN",1
C1A 3Z1,"Provincial Admin Building",1
C1A 3Z6,"Holman Building (Ch'town)",1
C1A 3Z6,"Provincial Admin Building",1
C1A 4A8,"West Royalty Liquor Store",1
C1A 4A9,"51-53 Water Street",1
C1A 4A9,"Provincial Admin Building",1
C1A 4A9,"Sherwood Business Centre",1
C1A 4B6,"Charlottetown",1
C1A 4B6,"French Museum",1
