postalcode,work_location,employee_count
C0A 1H1,"Chelton Park",1
C0A 1H1,"Child & Family  Services",1
C0A 1H1,"Ch'Town Government Garage",3
C0A 1H1,"Elmer Blanchard Building",1
C0A 1H1,"Highway Safety Charlottetown",2
C0A 1H1,"Holman Building (Ch'town)",1
C0A 1H1,"Holman Centre (Summerside)",1
C0A 1H1,"Potato Service Building",1
C0A 1H1,"Provincial Admin Building",13
C0A 1H1,"SirLouisHenryDaviesLawCourt",1
C0A 1H1,"Summerside Youth Centre",1
C0A 1H2,"197 Richmond Street/Ctrown Att",1
C0A 1H2,"Ch'Town Government Garage",3
C0A 1H2,"Confederation Centre",1
C0A 1H2,"Cornwall Liquor Store",1
C0A 1H2,"Forestry Queens",1
C0A 1H2,"Holland College Royalty Centre",1
C0A 1H2,"Provincial Admin Building",6
C0A 1H2,"Red Road Homes",1
C0A 1H2,"Sherwood Business Centre",2
C0A 1H2,"Tyne Valley Child/Youth Dev Hl",1
C0A 1H3,"22 Hunt Court",1
C0A 1H3,"40 Enman Crescent",2
C0A 1H3,"40B Burns Ave.",1
C0A 1H3,"Access PEI - Summerside",3
C0A 1H3,"Atlantic Technology Centre",1
C0A 1H3,"Brudenell Golf",1
C0A 1H3,"Ch'Town Government Garage",1
C0A 1H3,"Coles Building",1
C0A 1H3,"Comm & Corr Services",1
C0A 1H3,"Frank Gaudet Nursery",1
C0A 1H3,"Highway Safety Charlottetown",1
C0A 1H3,"Provincial Admin Building",15
C0A 1H3,"Provincial Correctional Centre",2
C0A 1H3,"Red Road Homes",1
C0A 1H3,"Sherwood Business Centre",2
C0A 1H3,"SirLouisHenryDaviesLawCourt",1
C0A 1H3,"Summerside Cannabis Store",1
C0A 1H3,"Summerside Youth Centre",1
C0A 1H4,"40B Burns Ave.",2
C0A 1H4,"557 North River Rd.",1
C0A 1H4,"Access PEI - Summerside",1
C0A 1H4,"Atlantic Technology Centre",2
C0A 1H4,"Aubin Arsenault Bldg",1
C0A 1H4,"Bradalbane Library",1
C0A 1H4,"Charlottetown",1
C0A 1H4,"Charlottetown Cannabis Store",1
C0A 1H4,"Coles Building",2
C0A 1H4,"Customs House",1
C0A 1H4,"Elmer Blanchard Building",2
C0A 1H4,"Highway Safety Charlottetown",3
C0A 1H4,"Holman Centre (Summerside)",3
C0A 1H4,"Liquor Control Commission",1
C0A 1H4,"Potato Service Building",1
C0A 1H4,"Provincial Admin Building",15
C0A 1H4,"Provincial Correctional Centre",1
C0A 1H4,"Queen Elizabeth Hospital",1
C0A 1H4,"Sherwood Business Centre",3
C0A 1H4,"Stratford Liquor Store",1
C0A 1H4,"West Royalty Liquor Store",1
C0A 1H5,"40B Burns Ave.",1
C0A 1H5,"51-53 Water Street",1
C0A 1H5,"Atlantic Technology Centre",1
C0A 1H5,"Aubin Arsenault Bldg",1
C0A 1H5,"CARREFOUR DE L'ISLE-SAINT-JEAN",1
C0A 1H5,"Ch'Town Government Garage",2
C0A 1H5,"Cornwall Liquor Store",2
C0A 1H5,"Highway Safety Charlottetown",1
C0A 1H5,"Holman Centre (Summerside)",2
C0A 1H5,"Liquor Control Commission",1
C0A 1H5,"PEI Analytical Labs",1
C0A 1H5,"Provincial Admin Building",12
C0A 1H5,"Provincial Correctional Centre",1
C0A 1H5,"Red Road Homes",1
C0A 1H5,"SirLouisHenryDaviesLawCourt",2
C0A 1H5,"St. Peters Library",1
C0A 1H6,"Aubin Arsenault Bldg",1
C0A 1H6,"Brookvale Ski Resort",1
C0A 1H6,"Ch'Town Government Garage",2
C0A 1H6,"Cornwall Liquor Store",1
C0A 1H6,"Government House",1
C0A 1H6,"Provincial Admin Building",8
C0A 1H6,"Sherwood Business Centre",1
C0A 1H6,"Southern Kings & Queens RSC",1
C0A 1H7,"40B Burns Ave.",1
C0A 1H7,"Ch'Town Government Garage",1
C0A 1H7,"Morell Library",1
C0A 1H7,"Mt. Stewart Highway Labs",1
C0A 1H7,"Prince County Hospital",1
C0A 1H7,"SirLouisHenryDaviesLawCourt",1
C0A 1H8,"16 Garfield St.",1
C0A 1H8,"40B Burns Ave.",1
C0A 1H8,"548 Main St., Montague",1
C0A 1H8,"Access PEI - Summerside",1
C0A 1H8,"Charlottetown",1
C0A 1H8,"Ch'Town Government Garage",1
C0A 1H8,"Cornwall Liquor Store",1
C0A 1H8,"Education Technology Centre",1
C0A 1H8,"Holland College Royalty Centre",1
C0A 1H8,"Holman Centre (Summerside)",1
C0A 1H8,"J. Angus MacLean Bldg",1
C0A 1H8,"Liquor Control Commission",1
C0A 1H8,"Provincial Admin Building",13
C0A 1H8,"Provincial Correctional Centre",3
C0A 1H8,"Red Road Homes",1
C0A 1H8,"Summerside Youth Centre",1
C0A 1H8,"Undefined Location",1
C0A 1H9,"40B Burns Ave.",1
C0A 1H9,"Ch'Town Government Garage",1
C0A 1H9,"Cornwall Liquor Store",1
C0A 1H9,"Customs House",1
C0A 1H9,"Provincial Admin Building",3
C0A 1H9,"Sherwood Business Centre",1
C0A 1J0,"185 Beach Grove Road",1
C0A 1J0,"Access PEI - Summerside",1
C0A 1J0,"Brookvale Ski Resort",1
C0A 1J0,"Charlottetown",1
C0A 1J0,"Child & Family  Services",1
C0A 1J0,"Ch'Town Government Garage",2
C0A 1J0,"Coles Building",2
C0A 1J0,"Crapaud Library",1
C0A 1J0,"Elmer Blanchard Building",1
C0A 1J0,"Frank Gaudet Nursery",1
C0A 1J0,"Georgetown Government Garage",1
C0A 1J0,"Hunter River Memorial Library",1
C0A 1J0,"Provincial Admin Building",11
C0A 1J0,"Sherwood Business Centre",2
C0A 1J0,"Summerside Government Garage",2
C0A 1K0,"Basin Head Park",1
C0A 1K0,"Bridgetown Goverment Garage",1
C0A 1K0,"Provincial Admin Building",2
C0A 1K0,"Souris Liquor Store",1
C0A 1L0,"548 Main St., Montague",1
C0A 1L0,"Atlantic Technology Centre",1
C0A 1L0,"Bridgetown Goverment Garage",1
C0A 1L0,"Brudenell Admin Office",10
C0A 1L0,"Brudenell Golf",5
C0A 1L0,"Ch'Town Government Garage",1
C0A 1L0,"Comm & Corr Services",1
C0A 1L0,"Dundarave",3
C0A 1L0,"Elmer Blanchard Building",1
C0A 1L0,"Georgetown Government Garage",15
C0A 1L0,"Highway Safety Charlottetown",1
C0A 1L0,"Kings County Courthouse",1
C0A 1L0,"Liquor Control Commission",1
C0A 1L0,"Montague",1
C0A 1L0,"Montague Library",1
C0A 1L0,"Montague Liquor Store",1
C0A 1L0,"Provincial Admin Building",4
C0A 1L0,"Provincial Correctional Centre",1
C0A 1L0,"Southern Kings & Queens RSC",1
C0A 1M0,"Access PEI - Summerside",1
C0A 1N0,"16 Garfield St.",1
C0A 1N0,"185 Beach Grove Road",1
C0A 1N0,"22 Hunt Court",1
C0A 1N0,"40B Burns Ave.",2
C0A 1N0,"Access PEI - Summerside",2
C0A 1N0,"Atlantic Technology Centre",2
C0A 1N0,"Aubin Arsenault Bldg",2
C0A 1N0,"Beaconsfield Historic House",1
C0A 1N0,"Cavendish Visitor Information",1
C0A 1N0,"Charlottetown",1
C0A 1N0,"Charlottetown Cannabis Store",1
C0A 1N0,"Child & Family  Services",2
C0A 1N0,"Ch'Town Government Garage",13
C0A 1N0,"Coles Building",2
C0A 1N0,"Confederation Centre",1
C0A 1N0,"Frank Gaudet Nursery",3
C0A 1N0,"Gateway Village",1
C0A 1N0,"Highway Safety Charlottetown",1
C0A 1N0,"Holman Building (Ch'town)",1
C0A 1N0,"Innovation PEI",1
C0A 1N0,"J. Angus MacLean Bldg",1
C0A 1N0,"Kensington Liquor Store",1
C0A 1N0,"North Rustico Liquor Store",5
C0A 1N0,"Potato Service Building",2
C0A 1N0,"Province House",1
C0A 1N0,"Provincial Admin Building",25
C0A 1N0,"Provincial Correctional Centre",4
C0A 1N0,"Red Road Homes",2
C0A 1N0,"Research Station",1
C0A 1N0,"Sherwood Business Centre",5
C0A 1N0,"SirLouisHenryDaviesLawCourt",1
C0A 1N0,"Stratford Liquor Store",1
C0A 1N0,"Summerside Cannabis Store",1
C0A 1N0,"Summerside Government Garage",2
C0A 1N0,"Summerside Rotary Reg. Library",1
C0A 1N0,"Summerside Youth Centre",2
C0A 1N0,"Tyne Valley Child/Youth Dev Hl",1
C0A 1P0,"40A Burns Ave.",1
C0A 1P0,"40B Burns Ave.",1
C0A 1P0,"Atlantic Technology Centre",1
C0A 1P0,"Charlottetown",2
C0A 1P0,"Charlottetown Cannabis Store",1
C0A 1P0,"Ch'Town Government Garage",17
C0A 1P0,"Coles Building",1
C0A 1P0,"Confederation Centre",1
C0A 1P0,"Cornwall Library",1
C0A 1P0,"Cornwall Liquor Store",2
C0A 1P0,"Education Technology Centre",1
C0A 1P0,"Elmer Blanchard Building",1
C0A 1P0,"Frank Gaudet Nursery",1
C0A 1P0,"Highway Safety Charlottetown",3
C0A 1P0,"Holland College Royalty Centre",1
C0A 1P0,"Holman Building (Ch'town)",1
C0A 1P0,"Holman Centre (Summerside)",2
C0A 1P0,"Liquor Control Commission",3
C0A 1P0,"Montague Cannabis Store",1
C0A 1P0,"Murchison House",1
C0A 1P0,"Oak Tree Place",2
C0A 1P0,"Provincial Admin Building",35
C0A 1P0,"Provincial Correctional Centre",6
C0A 1P0,"Queen Street Liquor Store",2
C0A 1P0,"Red Road Homes",1
C0A 1P0,"Research Station",1
C0A 1P0,"Sherwood Business Centre",7
C0A 1P0,"SirLouisHenryDaviesLawCourt",5
C0A 1P0,"Summerside Government Garage",2
C0A 1P0,"Undefined Location",2
C0A 1P0,"West Royalty Liquor Store",5
C0A 1R0,"16 Garfield St.",1
C0A 1R0,"185 Beach Grove Road",1
C0A 1R0,"40B Burns Ave.",1
C0A 1R0,"51-53 Water Street",1
C0A 1R0,"548 Main St., Montague",7
C0A 1R0,"Atlantic Technology Centre",2
C0A 1R0,"Aubin Arsenault Bldg",2
C0A 1R0,"Beaconsfield Historic House",1
C0A 1R0,"Bridgetown Goverment Garage",9
C0A 1R0,"Brudenell Admin Office",12
C0A 1R0,"Brudenell Golf",14
C0A 1R0,"Cardigan Bus Depot",1
C0A 1R0,"Cardigan Liquor Store",1
C0A 1R0,"Charlottetown Cannabis Store",1
C0A 1R0,"Ch'Town Government Garage",10
C0A 1R0,"Coles Building",1
C0A 1R0,"Confederation Centre",1
C0A 1R0,"Crowbush Golf Course",1
C0A 1R0,"Customs House",1
C0A 1R0,"Douses Road",2
C0A 1R0,"Dundarave",16
C0A 1R0,"Elmer Blanchard Building",3
C0A 1R0,"Forestry Dept- Southhampton-St",1
C0A 1R0,"Forestry Queens",1
C0A 1R0,"Georgetown Government Garage",41
C0A 1R0,"Highway Safety Charlottetown",2
C0A 1R0,"Holman Building (Ch'town)",2
C0A 1R0,"Holman Centre (Summerside)",2
C0A 1R0,"Johnny Ross Young RSC",1
C0A 1R0,"King's Castle Park",1
C0A 1R0,"Liquor Control Commission",4
C0A 1R0,"Montague",1
C0A 1R0,"Montague Cannabis Store",3
C0A 1R0,"Montague Library",4
C0A 1R0,"Montague Liquor Store",12
C0A 1R0,"Montague Rural Action Centre",1
C0A 1R0,"Morell Library",1
C0A 1R0,"Mt. Stewart Highway Labs",5
C0A 1R0,"Northumberland Park",4
C0A 1R0,"Orwell Corner Museum",2
C0A 1R0,"Pamure Island Park",5
C0A 1R0,"PEI Medicare Office",1
C0A 1R0,"Provincial Admin Building",24
C0A 1R0,"Provincial Correctional Centre",4
C0A 1R0,"Red Point Park",1
C0A 1R0,"Red Road Homes",1
C0A 1R0,"Research Station",1
