postalcode,work_location,employee_count,latitude,longitude
C0A 1C0,Child & Family  Services,1,46.1992,-63.3403
C0A 1C0,Ch'Town Government Garage,4,46.1992,-63.3403
C0A 1C0,Elmer Blanchard Building,1,46.1992,-63.3403
C0A 1C0,Frank Gaudet Nursery,1,46.1992,-63.3403
C0A 1C0,Government House,1,46.1992,-63.3403
C0A 1C0,Holman Building (Ch'town),1,46.1992,-63.3403
C0A 1C0,Holman Centre (Summerside),1,46.1992,-63.3403
C0A 1C0,J. Angus MacLean Bldg,1,46.1992,-63.3403
C0A 1C0,Liquor Control Commission,1,46.1992,-63.3403
C0A 1C0,Provincial Admin Building,16,46.1992,-63.3403
C0A 1C0,Red Road Homes,1,46.1992,-63.3403
C0A 1C0,Sherwood Business Centre,1,46.1992,-63.3403
C0A 1C0,Stratgartney Park,1,46.1992,-63.3403
C0A 1C0,West Royalty Industrial Park,1,46.1992,-63.3403
C0A 1E0,Access PEI - Summerside,1,46.4605,-63.4921
C0A 1E0,Ch'Town Government Garage,4,46.4605,-63.4921
C0A 1E0,Coles Building,1,46.4605,-63.4921
C0A 1E0,Customs House,1,46.4605,-63.4921
C0A 1E0,Eptek/Wyatt Centre,1,46.4605,-63.4921
C0A 1E0,Frank Gaudet Nursery,1,46.4605,-63.4921
C0A 1E0,Highway Safety Charlottetown,1,46.4605,-63.4921
C0A 1E0,Hunter River Memorial Library,1,46.4605,-63.4921
C0A 1E0,Provincial Admin Building,8,46.4605,-63.4921
C0A 1E0,Provincial Correctional Centre,3,46.4605,-63.4921
C0A 1E0,Sherwood Business Centre,1,46.4605,-63.4921
C0A 1E0,Summerside Government Garage,1,46.4605,-63.4921
C0A 1G0,"548 Main St., Montague",2,46.2512,-62.6163
C0A 1G0,Beaconsfield Historic House,1,46.2512,-62.6163
C0A 1G0,Bridgetown Goverment Garage,10,46.2512,-62.6163
C0A 1G0,Brudenell Admin Office,3,46.2512,-62.6163
C0A 1G0,Brudenell Golf,6,46.2512,-62.6163
C0A 1G0,Cambridge Building,1,46.2512,-62.6163
C0A 1G0,Cardigan Liquor Store,3,46.2512,-62.6163
C0A 1G0,CARREFOUR DE L'ISLE-SAINT-JEAN,1,46.2512,-62.6163
C0A 1G0,Ch'Town Government Garage,2,46.2512,-62.6163
C0A 1G0,Coles Building,1,46.2512,-62.6163
C0A 1G0,Crowbush Golf Course,3,46.2512,-62.6163
C0A 1G0,Dundarave,6,46.2512,-62.6163
C0A 1G0,Frank Gaudet Nursery,1,46.2512,-62.6163
C0A 1G0,Georgetown Government Garage,32,46.2512,-62.6163
C0A 1G0,Government House,1,46.2512,-62.6163
C0A 1G0,Highway Safety Charlottetown,1,46.2512,-62.6163
C0A 1G0,Johnny Ross Young RSC,1,46.2512,-62.6163
